date,name,event,location,location_link,organizer,status,reg_type,entry_fee,players,tags
12/27/2024 12:45 AM CEST,Disney Lorcana Locals! Constructed Tournament,https://melee.gg/Tournament/View/167632,"2285 Whitney AveSuite 4Hamden, CT 06518US",https://www.google.com/maps/dir/?api=1&destination=2285%20Whitney%20Ave%2C%20Hamden%2C%20CT%2006518,Unison Games Cafe,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/27/2024 12:30 AM CEST,Disney Lorcana Thursday Weekly,https://melee.gg/Tournament/View/153964,"315 Fayette StreetSuite 3Manlius, NY 13104US",https://www.google.com/maps/dir/?api=1&destination=315%20Fayette%20Street%2C%20Manlius%2C%20NY%2013104,Unplugged Game Store,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/24/2024 4:00 AM CEST,Lorcana Monday,https://melee.gg/Tournament/View/147737,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Spellhold Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/24/2024 1:00 AM CEST,Lorcana Locals 12/23,https://melee.gg/Tournament/View/165221,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Get Some Game 1,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/24/2024 1:00 AM CEST,Lorcana Locals 12/23,https://melee.gg/Tournament/View/165222,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Get Some Game 1,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/22/2024 9:00 PM CEST,Azurite Sea League: Round 1 - Week 4,https://melee.gg/Tournament/View/164691,"1376 Old Bridge Rd#102Woodbridge, VA 22192US",https://www.google.com/maps/dir/?api=1&destination=1376%20Old%20Bridge%20Rd%2C%20Woodbridge%2C%20VA%2022192,Born 2 Game,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/22/2024 8:00 PM CEST,Vaughan Events - Sunday - Disney Lorcana! Challenge,https://melee.gg/Tournament/View/167346,"7700 Keele StUnit 6BVaughan, ON L4K 2A1CA",https://www.google.com/maps/dir/?api=1&destination=7700%20Keele%20St%2C%20Vaughan%2C%20ON%20L4K%202A1,401 Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/22/2024 7:00 PM CEST,Lorcana Casual League Week 40,https://melee.gg/Tournament/View/161421,"United States,US",https://www.google.com/maps/dir/?api=1&destination=United%20States%2C%20null%2C%20null%20null,Red Raccoon Games,Registration,Invite Only,,0,['Disney Lorcana']
12/22/2024 12:00 AM CEST,Azurite Sea League Week #5,https://melee.gg/Tournament/View/166969,"10135 224th Street EastGraham, WA 98338US",https://www.google.com/maps/dir/?api=1&destination=10135%20224th%20Street%20East%2C%20Graham%2C%20WA%2098338,Next Level the Gamers Den,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/21/2024 9:00 PM CEST,Casual Games Lorcana League - December 21st,https://melee.gg/Tournament/View/144966,"2540 Shaughnessy StreetUnit #110Port Coquitlam, British Columbia V3B 0K3CA",https://www.google.com/maps/dir/?api=1&destination=2540%20Shaughnessy%20Street%2C%20Port%20Coquitlam%2C%20British%20Columbia%20V3B%200K3,Casual Games Ltd.,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/21/2024 8:00 PM CEST,December Lorcana League,https://melee.gg/Tournament/View/161218,"4107 Oleander DriveSuite D.Wilmington, NC 28403US",https://www.google.com/maps/dir/?api=1&destination=4107%20Oleander%20Drive%2C%20Wilmington%2C%20NC%2028403,Cape Fear Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/21/2024 10:30 AM CEST,RAINBOW Constructed @Carl Otto,https://melee.gg/Tournament/View/147245,"Langr Str 14Delmenhorst, Niedersachsen  27749DE",https://www.google.com/maps/dir/?api=1&destination=Langr%20Str%2014%2C%20Delmenhorst%2C%20Niedersachsen%20%2027749,Carl Otto Spiel und Freizeit GmbH,Registration,Invite Only,,0,"['Core', 'Disney Lorcana']"
12/21/2024 2:00 AM CEST,Weekly Lorcana Event - Duel (Best of 2),https://melee.gg/Tournament/View/158195,"60 place BourgetS #2Joliette, QC J6E 5E7CA",https://www.google.com/maps/dir/?api=1&destination=60%20place%20Bourget%2C%20Joliette%2C%20QC%20J6E%205E7,Topdeck Héroes Joliette,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/21/2024 1:30 AM CEST,Weekly Lorcana Tournament,https://melee.gg/Tournament/View/145118,"1509 Texas AveLubbock, TX 79414US",https://www.google.com/maps/dir/?api=1&destination=1509%20Texas%20Ave%2C%20Lubbock%2C%20TX%2079414,Mad Hatter's House of Games,Registration,Open Registration,,0,"['Free Form', 'Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/21/2024 1:00 AM CEST,CMD Lorcana Casual Weekly,https://melee.gg/Tournament/View/147763,"23 Princes StreetDunedin, Otago 9016NZ",https://www.google.com/maps/dir/?api=1&destination=23%20Princes%20Street%2C%20Dunedin%2C%20Otago%209016,Card Merchant Dunedin,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/21/2024 1:00 AM CEST,Lorcana League - Constructed - 12/20/2024,https://melee.gg/Tournament/View/166471,"510 SW 3rd StreetBAnkeny, IA 50023US",https://www.google.com/maps/dir/?api=1&destination=510%20SW%203rd%20Street%2C%20Ankeny%2C%20IA%2050023,Atlas Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/21/2024 12:00 AM CEST,Lorcana Constructed @ Nutmeg Games,https://melee.gg/Tournament/View/161436,"178 Danbury RoadNUTMEG GAMESNew Milford, Connecticut 06776",https://www.google.com/maps/dir/?api=1&destination=178%20Danbury%20Road%2C%20New%20Milford%2C%20Connecticut%2006776,NUTMEG GAMES,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/20/2024 3:30 AM CEST,Weekly Lorcanna Draft,https://melee.gg/Tournament/View/166975,"10135 224th Street EastGraham, WA 98338US",https://www.google.com/maps/dir/?api=1&destination=10135%20224th%20Street%20East%2C%20Graham%2C%20WA%2098338,Next Level the Gamers Den,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
